store_name,state,product_topup_card,address,product_phone,product_broadband2go,city,phone,zipcode
Kmart,NY,True,2280 North Ocean Avenue,True,False,"Farmingville,",(631) 732-1725,11738
AHA Wireless,NY,True,771 Horseblock Road,True,False,"Farmingville,",(631) 496-9099,11738
We Fix Phones Inc,NY,True,700 Patchogue Yaphank rd,True,False,"Medford,",not found,11763
GEE ESS Wireless,NY,True,350 East Main St Suite 21,True,False,"Patchogue,",(631) 569-4417,11772
Envios Mundial Corp,NY,True,300 West Main Street,True,False,"Patchogue,",(631) 627-2750,11772
Best Buy,NY,True,499 N Service Rd Suite 39,True,False,"Patchogue,",(631) 475-6269,11772
67 Wireless,NY,True,1761A Route 112,True,False,"Medford,",(631) 475-6767,11763
T&T Fiber Services,NY,True,1070 Middle Country Rd,True,False,"Selden,",(631) 320-3565,11784
Phone House 2,NY,True,240 East Main Street.,True,False,"Patchogue,",(631) 475-6701,11772
mWorks of Selden,NY,True,708 Middle Country Rd Ste A,True,True,"Selden,",not found,11784
Target,NY,True,2975 Horseblock Rd,True,False,"Medford,",(631) 286-0287,11763
Best Buy,NY,True,261 Pond Path,True,False,"Centereach,",(631) 737-1632,11720
Tech Central,NY,True,50 I Middle Country Rd,True,False,"Coram,",(631) 946-6700,11727
Target,NY,True,265 Pond Path,True,False,"Centereach,",(631) 580-5356,11720
ATF Wireless,NY,True,2229 Route 112,True,False,"Coram,",not found,11727
Glory Wireless Inc.,MA,True,587 Main St,True,False,"Springfield,",(413) 747-3980,01105
Dexom Wireless,MA,True,380 Dickinson St,True,False,"Springfield,",(413) 263-6608,01108
SIS Group Inc,MA,True,1228 Main St,True,False,"Springfield,",(413) 285-7297,01103
Zona Mobile,MA,True,385 Belmont Ave,True,False,"Springfield,",(413) 301-5440,01108
Mundo Mobile,MA,True,856 Main Street,True,False,"Springfield,",(413) 205-8514,01103
Main Connection,MA,True,2670 Main Street,True,False,"Springfield,",(413) 732-5181,01107
Wireless Solutions Of New England,MA,True,242 Memorial Ave,True,False,"West Springfield,",(413) 732-7786,01089
Kenny Tax Service,MA,True,510 Armory St,True,False,"Springfield,",(413) 214-6136,01104
Santana Tax Service,MA,True,882 State St,True,False,"Springfield,",(413) 886-0099,01109
Kmart,MA,True,1277 Liberty St,True,False,"Springfield,",(413) 737-9122,01104
Master Wireless - St James,MA,True,19 St James Ave,True,False,"Springfield,",(267) 639-9319,01109
Best Buy,CT,True,95 Elm St,True,False,"Enfield,",(860) 741-2002,06082
Target,CT,True,90 Elm St,True,False,"Enfield,",(860) 741-2676,06082
Main Connections,MA,True,203A Exchange Street,True,False,"Chicopee,",(413) 331-3010,01013
Wal-Mart,MA,True,591 Memorial Dr,True,False,"Chicopee,",(413) 593-3192,01020
AIT Communications,NY,True,2359 Middle Country Road,True,False,"Centereach,",(631) 467-0707,11720
Digimobile,NY,True,401 Hawkins Ave Suite 6,True,False,"Ronkonkoma,",(631) 619-6511,11779
Moriah Multi-Services,NY,True,14 Dawn Dr,True,False,"Centereach,",(631) 676-5487,11720
Mobility Center INC,NY,True,203 Centereach Mall,True,False,"Centereach,",(631) 738-1414,11720
Quick-Fix Screens Inc,NY,True,4615 Sunrise Highway,True,False,"Bohemia,",(631) 800-6600,11716
Target,NY,True,5750 Sunrise Hwy,True,False,"Sayville,",not found,11782
Kmart,NY,True,5151 Sunrise Highway,True,False,"Bohemia,",(631) 567-3060,11716
Holla Dollar Wireless,NY,True,1566 Montauk Hwy,True,False,"Bellport,",(631) 286-0767,11713
Tech Central,NY,True,835 Middle Country Road,True,False,"Middle Island,",(631) 775-6918,11953
Wal-Mart,NY,True,1850 VETERANS HWY,True,False,"Islandia,",(631) 851-0468,11749
