00501,Holtsville,New York,NY,Suffolk,40.8154,-73.0451
01001,Agawam,Massachusetts,MA,Hampden,42.0702,-72.6227
01002,Amherst,Massachusetts,MA,Hampshire,42.3671,-72.4646
01005,Barre,Massachusetts,MA,Worcester,42.4097,-72.1084
01007,Belchertown,Massachusetts,MA,Hampshire,42.2751,-72.411
01008,Blandford,Massachusetts,MA,Hampden,42.1829,-72.9361
01009,Bondsville,Massachusetts,MA,Hampden,42.2061,-72.3405
01010,Brimfield,Massachusetts,MA,Hampden,42.1165,-72.1885
01011,Chester,Massachusetts,MA,Hampden,42.2794,-72.9888
01012,Chesterfield,Massachusetts,MA,Hampshire,42.3923,-72.8256
01014,Chicopee,Massachusetts,MA,Hampden,42.1707,-72.6048
01026,Cummington,Massachusetts,MA,Hampshire,42.4633,-72.9202
01027,Easthampton,Massachusetts,MA,Hampshire,42.2668,-72.669
01028,East Longmeadow,Massachusetts,MA,Hampden,42.0672,-72.5056
01029,East Otis,Massachusetts,MA,Berkshire,42.1909,-73.0517
01031,Gilbertville,Massachusetts,MA,Worcester,42.3322,-72.1986
01033,Granby,Massachusetts,MA,Hampshire,42.2557,-72.52
01038,Hatfield,Massachusetts,MA,Hampshire,42.3844,-72.6167
01050,Huntington,Massachusetts,MA,Hampshire,42.2653,-72.8733
01054,Leverett,Massachusetts,MA,Franklin,42.4682,-72.4993
01056,Ludlow,Massachusetts,MA,Hampden,42.1728,-72.471
01057,Monson,Massachusetts,MA,Hampden,42.101,-72.3196
01077,Southwick,Massachusetts,MA,Hampden,42.0511,-72.7706
01082,Ware,Massachusetts,MA,Hampshire,42.2618,-72.2583
01097,Woronoco,Massachusetts,MA,Hampden,42.164,-72.8295
01201,Pittsfield,Massachusetts,MA,Berkshire,42.4531,-73.2471
01220,Adams,Massachusetts,MA,Berkshire,42.6223,-73.1172
01222,Ashley Falls,Massachusetts,MA,Berkshire,42.0596,-73.3202
01223,Becket,Massachusetts,MA,Berkshire,42.3594,-73.1203
01229,Glendale,Massachusetts,MA,Berkshire,42.2793,-73.3435
01230,Great Barrington,Massachusetts,MA,Berkshire,42.1959,-73.3607
01238,Lee,Massachusetts,MA,Berkshire,42.299,-73.2317
01245,Monterey,Massachusetts,MA,Berkshire,42.1867,-73.2065
01254,Richmond,Massachusetts,MA,Berkshire,42.3784,-73.3645
01255,Sandisfield,Massachusetts,MA,Berkshire,42.1094,-73.1163
01256,Savoy,Massachusetts,MA,Berkshire,42.577,-73.0233
01258,South Egremont,Massachusetts,MA,Berkshire,42.1012,-73.4566
01267,Williamstown,Massachusetts,MA,Berkshire,42.7089,-73.2036
01301,Greenfield,Massachusetts,MA,Franklin,42.6013,-72.6236
01330,Ashfield,Massachusetts,MA,Franklin,42.5232,-72.811
01331,Athol,Massachusetts,MA,Worcester,42.5959,-72.2267
01337,Bernardston,Massachusetts,MA,Franklin,42.6952,-72.5772
01339,Charlemont,Massachusetts,MA,Franklin,42.608,-72.8901
01340,Colrain,Massachusetts,MA,Franklin,42.679,-72.7265
01344,Erving,Massachusetts,MA,Franklin,42.6076,-72.4292
01346,Heath,Massachusetts,MA,Franklin,42.6853,-72.8391
01347,Lake Pleasant,Massachusetts,MA,Franklin,42.5566,-72.5181
01350,Monroe Bridge,Massachusetts,MA,Franklin,42.7215,-72.9762
